Date,Country,Market_Type,Return
2000-07-26,US,DM,-0.01495453
2000-07-27,US,DM,-0.001927817
2000-07-28,US,DM,-0.02050882
2000-07-31,US,DM,0.007704822
2000-08-01,US,DM,0.0050809670000000005
2000-08-02,US,DM,0.0004172172
2000-08-03,US,DM,0.009633697
2000-08-04,US,DM,0.0071391200000000005
2000-08-07,US,DM,0.01120354
2000-08-08,US,DM,0.0023524320000000002
2000-08-09,US,DM,-0.00669679
2000-08-10,US,DM,-0.008568306000000001
2000-08-11,US,DM,0.007936997000000001
2000-08-14,US,DM,0.0133982
2000-08-15,US,DM,-0.00478023
2000-08-16,US,DM,-0.003085359
2000-08-17,US,DM,0.010960570000000001
2000-08-18,US,DM,-0.0029076180000000003
2000-08-21,US,DM,0.005202048
2000-08-22,US,DM,-0.0009003121
2000-08-23,US,DM,0.00523319
2000-08-24,US,DM,0.0015538160000000002
2000-08-25,US,DM,-0.001233168
2000-08-28,US,DM,0.005071526000000001
2000-08-29,US,DM,-0.002806967
2000-08-30,US,DM,-0.0048018340000000005
2000-08-31,US,DM,0.01004266
2000-09-01,US,DM,0.0020360020000000003
2000-09-05,US,DM,-0.009002019
2000-09-06,US,DM,-0.009840221000000001
2000-09-07,US,DM,0.006875523000000001
2000-09-08,US,DM,-0.005331079000000001
2000-09-11,US,DM,-0.0035061890000000003
2000-09-12,US,DM,-0.004881619
2000-09-13,US,DM,0.0019703240000000003
2000-09-14,US,DM,-0.002720704
2000-09-15,US,DM,-0.0101697
2000-09-18,US,DM,-0.014531210000000001
2000-09-19,US,DM,0.01065413
2000-09-20,US,DM,-0.005863415
2000-09-21,US,DM,-0.001577852
2000-09-22,US,DM,-0.00022773540000000002
2000-09-25,US,DM,-0.006688663
2000-09-26,US,DM,-0.008213867
2000-09-27,US,DM,-0.00044842730000000004
2000-09-28,US,DM,0.022235150000000002
2000-09-29,US,DM,-0.0149353
2000-10-02,US,DM,-0.0001949169
2000-10-03,US,DM,-0.0068025310000000005
2000-10-04,US,DM,0.005510144000000001
2000-10-05,US,DM,0.001366501
2000-10-06,US,DM,-0.019000470000000002
2000-10-09,US,DM,-0.004939708
2000-10-10,US,DM,-0.01070591
2000-10-11,US,DM,-0.01617136
2000-10-12,US,DM,-0.02550949
2000-10-13,US,DM,0.03338146
2000-10-16,US,DM,0.00032747040000000004
2000-10-17,US,DM,-0.01793223
2000-10-18,US,DM,-0.005807537000000001
2000-10-19,US,DM,0.03474328
2000-10-20,US,DM,0.005882946
2000-10-23,US,DM,-0.0008232338
2000-10-24,US,DM,0.001683646
2000-10-25,US,DM,-0.02376746
2000-10-26,US,DM,-0.000337021
2000-10-27,US,DM,0.011096130000000001
2000-10-30,US,DM,0.0138303
2000-10-31,US,DM,0.02197818
2000-11-01,US,DM,-0.005722681
2000-11-02,US,DM,0.004995708000000001
2000-11-03,US,DM,-0.001141201
2000-11-06,US,DM,0.003855077
2000-11-07,US,DM,-0.000223434
2000-11-08,US,DM,-0.01577657
2000-11-09,US,DM,-0.006485581000000001
2000-11-10,US,DM,-0.024397560000000002
2000-11-13,US,DM,-0.01077615
2000-11-14,US,DM,0.02345219
2000-11-15,US,DM,0.0049604110000000005
2000-11-16,US,DM,-0.01258445
2000-11-17,US,DM,-0.003351988
2000-11-20,US,DM,-0.01835171
2000-11-21,US,DM,0.003522963
2000-11-22,US,DM,-0.01854752
2000-11-24,US,DM,0.0146783
2000-11-27,US,DM,0.005366046
2000-11-28,US,DM,-0.009548025
2000-11-29,US,DM,0.004370963
2000-11-30,US,DM,-0.02010537
2000-12-01,US,DM,0.0002129358
2000-12-04,US,DM,0.007405549000000001
2000-12-05,US,DM,0.03892164
2000-12-06,US,DM,-0.01821959
2000-12-07,US,DM,-0.005852929000000001
2000-12-08,US,DM,0.01960478
2000-12-11,US,DM,0.007526152
2000-12-12,US,DM,-0.006535285
2000-12-13,US,DM,-0.008160854
2000-12-14,US,DM,-0.01401481
2000-12-15,US,DM,-0.02146272
2000-12-18,US,DM,0.008070724000000001
2000-12-19,US,DM,-0.012957950000000001
2000-12-20,US,DM,-0.03129596
2000-12-21,US,DM,0.008001644
2000-12-22,US,DM,0.02440268
2000-12-26,US,DM,0.007059887000000001
2000-12-27,US,DM,0.01043956
2000-12-28,US,DM,0.003988201
2000-12-29,US,DM,-0.01044805
2001-01-02,US,DM,-0.02803193
2001-01-03,US,DM,0.050098580000000004
2001-01-04,US,DM,-0.01055241
2001-01-05,US,DM,-0.02624237
2001-01-08,US,DM,-0.001917819
2001-01-09,US,DM,0.0038121400000000003
2001-01-10,US,DM,0.009586409
2001-01-11,US,DM,0.01031776
2001-01-12,US,DM,-0.006406295
2001-01-16,US,DM,0.0063186480000000005
2001-01-17,US,DM,0.002125655
2001-01-18,US,DM,0.01391532
2001-01-19,US,DM,-0.004028279
2001-01-22,US,DM,0.00026814840000000004
2001-01-23,US,DM,0.0130315
2001-01-24,US,DM,0.002866804
2001-01-25,US,DM,-0.0049769110000000005
2001-01-26,US,DM,-0.001885806
2001-01-29,US,DM,0.006804679
2001-01-30,US,DM,0.0070079240000000004
2001-01-31,US,DM,-0.005619736
2001-02-01,US,DM,0.005461161
2001-02-02,US,DM,-0.017473990000000002
2001-02-05,US,DM,0.0035865930000000003
2001-02-06,US,DM,-0.0015136860000000002
2001-02-07,US,DM,-0.008408146
2001-02-08,US,DM,-0.006234665
2001-02-09,US,DM,-0.01333553
2001-02-12,US,DM,0.011827250000000001
2001-02-13,US,DM,-0.008652119
2001-02-14,US,DM,-0.0021838030000000002
2001-02-15,US,DM,0.008123594000000001
2001-02-16,US,DM,-0.01890533
2001-02-20,US,DM,-0.0173565
2001-02-21,US,DM,-0.01850751
2001-02-22,US,DM,-0.0019517710000000001
2001-02-23,US,DM,-0.0055554670000000006
2001-02-26,US,DM,0.01748993
2001-02-27,US,DM,-0.007659843
2001-02-28,US,DM,-0.01430911
2001-03-01,US,DM,0.001040373
2001-03-02,US,DM,-0.00567985
2001-03-05,US,DM,0.005858141000000001
2001-03-06,US,DM,0.009980586000000001
2001-03-07,US,DM,0.006452385000000001
2001-03-08,US,DM,0.0022585170000000003
2001-03-09,US,DM,-0.02476398
2001-03-12,US,DM,-0.043180750000000004
2000-01-03,France,DM,-0.004316560433529325
2000-01-04,France,DM,-0.04135089175634644
2000-01-05,France,DM,-0.02950442101363787
2000-01-06,France,DM,-0.00014276897539372785
2000-01-07,France,DM,0.01902568127213241
2000-01-10,France,DM,0.018571120818107096
2000-01-11,France,DM,-0.004774624017879793
2000-01-12,France,DM,-0.008536992077624494
2000-01-13,France,DM,0.009259445898347363
2000-01-14,France,DM,0.022800604774297288
2000-01-17,France,DM,0.008839895783821319
2000-01-18,France,DM,-0.025862657441398592
2000-01-19,France,DM,-0.0020560492353876338
2000-01-20,France,DM,0.008701812291614316
2000-01-21,France,DM,-0.008352954740604563
2000-01-24,France,DM,-0.0021563254509797494
2000-01-25,France,DM,-0.012180296597003329
2000-01-26,France,DM,0.012246151202540363
2000-01-27,France,DM,0.006450896597380643
2000-01-28,France,DM,0.004369974554830562
2000-01-31,France,DM,-0.010554717494973673
2000-02-01,France,DM,0.014885487255258921
2000-02-02,France,DM,0.02766073983686511
2000-02-03,France,DM,0.029081895507778024
2000-02-04,France,DM,0.015002738592112092
2000-02-07,France,DM,-0.009878552775355553
2000-02-08,France,DM,0.013629117068562334
2000-02-09,France,DM,-0.0010007274688278523
2000-02-10,France,DM,-0.011161209938483295
2000-02-11,France,DM,0.016590440946628753
2000-02-14,France,DM,-0.0001040626915348787
2000-02-15,France,DM,-0.026435991259545193
2000-02-16,France,DM,-0.004581756625796498
2000-02-17,France,DM,0.017161697655192203
2000-02-18,France,DM,-0.01670693369038225
2000-02-21,France,DM,-0.019093693292014102
2000-02-22,France,DM,-0.0010886478463490803
2000-02-23,France,DM,0.013047570277349185
2000-02-24,France,DM,0.011005163935837503
2000-02-25,France,DM,0.01760771775415272
2000-02-28,France,DM,-0.010972940452373018
2000-02-29,France,DM,0.014822584916090942
2000-03-01,France,DM,0.014431259719698988
2000-03-02,France,DM,0.036256407322071464
2000-03-03,France,DM,0.0025332281703375225
2000-03-06,France,DM,0.006059489063535892
2000-03-07,France,DM,-0.01393779960593377
2000-03-08,France,DM,-0.014620625854744912
2000-03-09,France,DM,0.010462778416337106
2000-03-10,France,DM,0.013342386604490929
2000-03-13,France,DM,-0.026369018004744543
2000-03-14,France,DM,0.0003703311804563589
2000-03-15,France,DM,-0.02346188940629752
2000-03-16,France,DM,0.008427654077786013
2000-03-17,France,DM,0.012295965545008163
2000-03-20,France,DM,0.004352049048604709
2000-03-21,France,DM,-0.011125775757518852
2000-03-22,France,DM,-0.006459479659452842
2000-03-23,France,DM,-0.002230972258714185
2000-03-24,France,DM,0.013161726139522212
2000-03-27,France,DM,0.017480773336961138
2000-03-28,France,DM,0.012055053740451118
2000-03-29,France,DM,-0.0004148720241701108
2000-03-30,France,DM,-0.030197813637059288
2000-03-31,France,DM,-0.0021918032874423247
2000-04-03,France,DM,-0.02709668631856332
2000-04-04,France,DM,0.010652811685192614
2000-04-05,France,DM,-0.033346162159736875
2000-04-06,France,DM,0.03196381831361031
2000-04-07,France,DM,0.012239700149848997
2000-04-10,France,DM,0.011697945004331203
2000-04-11,France,DM,-0.015492997524152459
2000-04-12,France,DM,-0.0015970449421363888
2000-04-13,France,DM,-0.002458730932120158
2000-04-14,France,DM,-0.029925502325311697
2000-04-17,France,DM,-0.006932079292306151
2000-04-18,France,DM,0.01396205828813702
2000-04-19,France,DM,0.0011427211996347208
